NO,Operator,Node_Status,Life,Asset,Province,Service_Center,Brand,NE_IP,NE_Name,NE_Type,Bandwidth,Used_Port,Free_Port,Total,Battery_life,Type,PON_Type,OLT_Slot,Platform,Name_Umbo,customer_Umbo,OLT_Twin,Procurement_OLT,Procurement_Battery_Li_On,Battery_Site,Asset_Battery,Check_Update_OLT
"3342","BigRock","null","null","null","แม่ฮ่องสอน","แม่สะเรียง 1","ZTE","10.223.160.54","msn-msr-bigrock-olt07(10.223.160.54) Mae Rid Par Kae","C320v2","10G","3","5","12","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3343","NT","Online","รอสอบถาม","null","กำแพงเพชร","คลองขลุง","ZTE","10.230.77.51","KPT_NT2_PSG_Outdoor(LR)","C320v2","10G","3","5","12","3 - 5 ปี","Outdoor","LR","2 Slot","-","KPT_NT2_PSG_แปลงสี่_OUTDOOR[LR]","14","no","null","null","null","null","OLT ยังใช้"
"3344","24K","null","null","null","เชียงราย","เชียงราย 1","ZTE","10.223.156.102","cri-swmn7-24kolt01(10.223.156.102)","C320v2","10G","1","7","12","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3345","USO","null","null","null","พิษณุโลก","พิษณุโลก 1","ZTE","10.223.237.13","PLK_USO_OLT678_ nong luak-10.223.237.13","C320v2","10G","4","4","12","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","OLT_USO_678_บ้านหนองลวก","12","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3346","USO","null","null","null","นครสวรรค์","นครสวรรค์ 1","ZTE","10.223.239.21","USO_OLT_518_slpk_10.223.239.21","C320v2","10G","3","5","12","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","nsn-ttk-USOOLT518","12","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3347","USO","null","null","null","สุโขทัย","สุโขทัย 1","ZTE","10.223.240.6","sti-ssr-usoolt672pda (10.223.240.6)","C320v2","10G","5","3","12","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","sti-ssr-USOOLT672 ผาแดง","12","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3348","24K","null","null","null","เพชรบูรณ์","ศรีเทพ","ZTE","10.223.163.155","pbn-bnj-24kolt01(10.223.163.155)","C320v2","10G","1","7","12","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3349","USO","null","null","null","สุโขทัย","สุโขทัย 1","ZTE","10.223.240.13","sti-ssr-usoolt673ltb (10.223.240.13)","C320v2","10G","6","2","12","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","sti-ssr-USOOLT673ลุตะแบก","12","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3350","USO","null","null","null","เพชรบูรณ์","เพชรบูรณ์ 1","ZTE","10.223.242.11","pbn-pbn-usoolt573 (10.223.242.11)","C320v2","10G","6","2","12","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","pbn-pbn-usoolt573 (USO-ตะเบาะ)","12","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3351","24K","null","null","null","เชียงราย","พาน","ZTE","10.223.156.41","cri-wao6-24kolt01(10.223.156.41)","C320v2","10G","1","7","12","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3352","NT","Online","รอสอบถาม","null","แพร่","เด่นชัย","ZTE","10.230.49.193","PRE_NT2_Saiyoi_Outdoor(ER)","C320v2","10G","5","3","12","3 - 5 ปี","Outdoor","ER","2 Slot","-","OLT_NT2_ไทรย้อย ม.2","13","no","null","2569","48V 20Ah & EMM","205011481789","OLT ยังใช้"
"3353","USO","null","null","null","นครสวรรค์","null","ZTE","10.223.239.47","nsn-tkr-nsn-tkr-uso3kolt01","C320v2","10G","2","6","12","ไม่ระบุ","ไม่พบใน Mng","null","2 Slot","-","nsn-tkr-uso3kolt01","12","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3354","BigRock","null","null","null","แพร่","แพร่ 2","ZTE","10.223.166.49","pre-bnrd-bigrock-olt01(10.223.166.49)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3355","BigRock","null","null","null","พะเยา","เชียงคำ","ZTE","10.223.167.126","pyo-npuk-bigrock-olt01(10.223.167.126)","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3356","NT","Online","รอสอบถาม","null","เชียงใหม่","จอมทอง","ZTE","10.230.4.53","CMI_NT2_PLR_Outdoor(ER)","C320v2","1G","3","5","11","6 - 8 ปี","Outdoor","LR","2 Slot","-","cmi_pl17_olt01_โป่งลมแรง ป่ากล้วย ม.17","9","no","null","null","null","null","OLT ยังใช้"
"3357","24K","null","null","null","นครสวรรค์","ตาคลี 1","ZTE","10.223.162.240","nsn-tkck1-24kolt01(10.223.162.240) Chong Khae 1","C320v2","10G","1","7","11","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
