ID,LocationName,Latitude,Longitude,ServiceCenter,Province,Type
10223157118,kpt-pta-24kolt01,16.48526431412,99.77249634900,DE,กำแพงเพชร,D
10223157119,kpt-mye-24kolt01,16.50028661698,99.95505116257,DE,กำแพงเพชร,D
1022315712,kpt-rna-24kolt01,16.54515045689,99.48035593359,DE,กำแพงเพชร,D
10223157120,kpt-srg-24kolt01,16.42275187711,99.73230449691,DE,กำแพงเพชร,D
10223157121,kpt-npt-24kolt01,16.42200998008,99.90067640042,DE,กำแพงเพชร,D
10223157122,kpt-nmt-24kolt01,16.41418946628,99.94204801045,DE,กำแพงเพชร,D
10223157123,kpt-nmk-24kolt01,16.44788806110,99.94619842506,DE,กำแพงเพชร,D
10223157124,kpt-nem-24kolt01,16.52340500000,99.80150300000,DE,กำแพงเพชร,D
10223157125,kpt-huy-24kolt01,16.45150000000,99.78424000000,DE,กำแพงเพชร,D
10223157126,kpt-tsn-24kolt01,16.26472744594,99.98422843843,DE,กำแพงเพชร,D
10223157127,kpt-tnm-24kolt01,16.17226984501,99.91496725449,DE,กำแพงเพชร,D
10223157128,kpt-bbn-24kolt01,16.30948653503,100.01053590886,DE,กำแพงเพชร,D
10223157129,kpt-pen-24kolt01,16.19389946225,99.93358528586,DE,กำแพงเพชร,D
1022315713,kpt-ysm-24kolt01,16.51923820000,99.43956370000,DE,กำแพงเพชร,D
10223157130,kpt-bsm-24kolt01,16.20707408912,99.90587938767,DE,กำแพงเพชร,D
10223157131,kpt-ksn-24kolt02,16.56548780875,99.91788568623,DE,กำแพงเพชร,D
10223157132,kpt-bsw-24kolt01,16.55957100000,99.85218281845,DE,กำแพงเพชร,D
10223157133,kpt-lkb-24kolt01,16.62401156003,99.88311319287,DE,กำแพงเพชร,D
10223157134,kpt-bcg-24kolt01,16.59003016784,99.80888636633,DE,กำแพงเพชร,D
10223157135,kpt-btr-24kolt01,16.69870912129,99.85981488532,DE,กำแพงเพชร,D
10223157136,kpt-twn-24kolt01,16.24119074077,99.88333327691,DE,กำแพงเพชร,D
10223157137,kpt-bmn-24kolt01,16.66598635111,99.78600709325,DE,กำแพงเพชร,D
10223157138,kpt-pcs-24kolt01,16.54154358978,99.97142256218,DE,กำแพงเพชร,D
10223157139,kpt-lkb-24kolt02,16.61165424913,99.78716627735,DE,กำแพงเพชร,D
1022315714,kpt-mjk-24kolt01,16.51913609800,99.43000811551,DE,กำแพงเพชร,D
10223157140,kpt-lkb-24kolt03,16.68311101090,99.82990136739,DE,กำแพงเพชร,D
10223157141,kpt-nlg-24kolt01,16.63195942329,99.81068397512,DE,กำแพงเพชร,D
10223157142,kpt-kpt-bigrock-olt02,16.52999433241,99.60077697246,DE,กำแพงเพชร,D
10223157143,kpt-kpt-bigrock-olt03,16.68575065332,99.31060622023,DE,กำแพงเพชร,D
10223157144,kpt-kpt-bigrock-olt01,16.57774648403,99.50975568584,DE,กำแพงเพชร,D
10223157145,kpt-kpt-bigrock-olt04,16.31535330512,99.93509247756,DE,กำแพงเพชร,D
10223157146,kpt-kpt-bigrock-olt08,16.04486124361,99.70734778406,DE,กำแพงเพชร,D
10223157147,kpt-kpt-bigrock-olt05,16.48732351907,99.81537759304,DE,กำแพงเพชร,D
10223157148,kpt-kpt-bigrock-olt06,15.99923289157,99.45600801720,DE,กำแพงเพชร,D
10223157149,kpt-kpt-bigrock-olt07,15.92697700000,99.42287500000,DE,กำแพงเพชร,D
1022315715,kpt-amt-24kolt01,16.58717907360,99.44996323366,DE,กำแพงเพชร,D
1022315716,kpt-kpi-24kolt01,16.63367911111,99.34999207732,DE,กำแพงเพชร,D
1022315717,kpt-dsm-24kolt01 บ้านดงซ่อม,16.61858113618,99.25462394464,DE,กำแพงเพชร,D
1022315718,kpt-kto-24kolt01,16.64399254800,99.31340613229,DE,กำแพงเพชร,D
1022315719,kpt-kpi-24kolt02,16.65670299020,99.31705426766,DE,กำแพงเพชร,D
1022315723,kpt-stk-24kolt01,16.44882663104,99.43207508405,DE,กำแพงเพชร,D
1022315725,kpt-slt-24kolt01,16.45814351487,99.35200068308,DE,กำแพงเพชร,D
1022315726,OLT หนองกอง,16.46477528658,99.30976308760,DE,กำแพงเพชร,D
1022315727,kpt-kpk-24kolt01,16.59809617242,99.45560420224,DE,กำแพงเพชร,D
1022315728,kpt-knt-24kolt01,16.36194600422,99.42756575005,DE,กำแพงเพชร,D
1022315729,kpt-yrg-24kolt01,16.40846521333,99.45616979623,DE,กำแพงเพชร,D
1022315730,kpt-mbn-24kolt01,16.28761926495,99.38293162672,DE,กำแพงเพชร,D
1022315731,kpt-kdu-24kolt01,16.31441089553,99.50578632639,DE,กำแพงเพชร,D
1022315732,kpt-ksn-24kolt01,16.34026314630,99.60593937847,DE,กำแพงเพชร,D
1022315733,kpt-dne-24kolt01,16.19713022261,99.43373544432,DE,กำแพงเพชร,D
1022315734,kpt-mrn-24kolt01,16.32141716487,99.47585713809,DE,กำแพงเพชร,D
1022315735,kpt-wtg-24kolt01,16.33838330194,99.44259942052,DE,กำแพงเพชร,D
1022315736,kpt-wda-24kolt01,16.30763416417,99.54705585756,DE,กำแพงเพชร,D
1022315737,kpt-fkr-24kolt01,16.27676653927,99.38008141416,DE,กำแพงเพชร,D
1022315738,kpt-wkn-24kolt01,16.19178633011,99.46813552806,DE,กำแพงเพชร,D
102231574,kpt-bgn-24kolt01,16.47919337449,99.59239671164,DE,กำแพงเพชร,D
1022315741,kpt-kyi-24kolt01,16.28752712082,99.69882477594,DE,กำแพงเพชร,D
1022315742,kpt-kmg-24kolt01,16.22962413098,99.85811881727,DE,กำแพงเพชร,D
1022315743,kpt-rdw-24kolt01,16.20300496837,99.82555914117,DE,กำแพงเพชร,D
1022315744,kpt-rmi-24kolt01,16.15951833064,99.82698754541,DE,กำแพงเพชร,D
1022315745,kpt-wti-24kolt01,16.27668000000,99.79041000000,DE,กำแพงเพชร,D
1022315746,kpt-syk-24kolt01,16.30620480000,99.75154760000,DE,กำแพงเพชร,D
1022315747,kpt-ntg-24kolt01,16.17317890000,99.67852610000,DE,กำแพงเพชร,D
1022315748,kpt-mld-24kolt01,16.15100102114,99.72062468182,DE,กำแพงเพชร,D
102231575,kpt-skn-24kolt01,16.36502958248,99.62481093776,DE,กำแพงเพชร,D
1022315750,kpt-rsi-24kolt01,16.30829269716,99.73572538626,DE,กำแพงเพชร,D
1022315751,kpt-wsi-24kolt01,16.21842164994,99.62475190494,DE,กำแพงเพชร,D
1022315752,kpt-srn-24kolt01,16.18926488843,99.59670702765,DE,กำแพงเพชร,D
1022315753,kpt-nnm-24kolt01,16.29995706323,99.78096560489,DE,กำแพงเพชร,D
1022315754,kpt-ccb-24kolt01,16.18509084504,99.53764137725,DE,กำแพงเพชร,D
1022315755,kpt-wnm-24kolt01,16.20480301056,99.76424894527,DE,กำแพงเพชร,D
1022315757,kpt-nhw-24kolt01,16.21863372397,99.66281513038,DE,กำแพงเพชร,D
1022315758,kpt-tsa-24kolt01,16.26597941700,99.68571816931,DE,กำแพงเพชร,C
1022315759,kpt-ntn-24kolt01,16.26294246402,99.65406900821,DE,กำแพงเพชร,D
102231576,kpt-nln-24kolt01,16.44377710860,99.62545204093,DE,กำแพงเพชร,D
1022315760,kpt-htn-24kolt01,16.25369520000,99.61208940000,DE,กำแพงเพชร,D
