no,Category,Type, Item,Unit,volume,Cable,Material,Labour
252,Optical Dropwire with CPE Installaion and management,Optical Dropwire Work with CPE Installation and Management,TER-PT OFTK SC/APC STD-Outdoor,F, 100.00 , -   ," 5,000.00 "," 13,284.00 "
253,Optical Dropwire with CPE Installaion and management,Terminal Box Installation,TB 2F SC/APC,Set, 1.00 , -   , 70.00 , 38.71 
254,Optical Dropwire with CPE Installaion and management,Terminal Box Installation,TB 4F SC/APC,Set, 1.00 , -   , 500.00 , 38.71 
255,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 1/2 in,m, 1.00 , 66.00 , 19.80 , 26.00 
256,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 3/4 in,m, 1.00 , 84.00 , 25.20 , 30.00 
257,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 1 in,m, 1.00 , 123.00 , 36.90 , 35.00 
258,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 1 1/4 in,m, 1.00 , 159.00 , 47.70 , 40.00 
259,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 1 1/2 in,m, 1.00 , 189.00 , 56.70 , 50.00 
260,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 2 in,m, 1.00 , 252.00 , 75.60 , 55.00 
261,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 2 1/2 in,m, 1.00 , 611.00 , 183.30 , 70.00 
262,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 3 in,m, 1.00 , 786.00 , 235.80 , 80.00 
263,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 4 in,m, 1.00 ," 1,157.00 ", 347.10 , 105.00 
264,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 5 in,m, 1.00 ," 1,664.00 ", 499.20 , 115.00 
265,Building Conduit Work,Rigid Steel Conduit (RSC),RSC dia. 6 in,m, 1.00 ," 1,992.00 ", 597.60 , 135.00 
266,Building Conduit Work,Intermediate Metal Conduit (IMC),IMC dia. 1/2 in,m, 1.00 , 54.00 , 16.20 , 26.00 
267,Building Conduit Work,Intermediate Metal Conduit (IMC),IMC dia. 3/4 in,m, 1.00 , 72.00 , 21.60 , 28.00 
268,Building Conduit Work,Intermediate Metal Conduit (IMC),IMC dia. 1 in,m, 1.00 , 97.00 , 29.10 , 32.00 
269,Building Conduit Work,Intermediate Metal Conduit (IMC),IMC dia. 1 1/4 in,m, 1.00 , 125.00 , 37.50 , 38.00 
270,Building Conduit Work,Intermediate Metal Conduit (IMC),IMC dia. 1 1/2 in,m, 1.00 , 154.00 , 46.20 , 42.00 
271,Building Conduit Work,Intermediate Metal Conduit (IMC),IMC dia. 2 in,m, 1.00 , 210.00 , 63.00 , 48.00 
272,Building Conduit Work,Electrical Metallic Tubing (EMT),EMT dia. 1/2 in,m, 1.00 , 25.00 , 7.50 , 22.00 
273,Building Conduit Work,Electrical Metallic Tubing (EMT),EMT dia. 3/4 in,m, 1.00 , 37.00 , 11.10 , 24.00 
274,Building Conduit Work,Electrical Metallic Tubing (EMT),EMT dia. 1 in,m, 1.00 , 52.00 , 15.60 , 28.00 
275,Building Conduit Work,Electrical Metallic Tubing (EMT),EMT dia. 1 1/4 in,m, 1.00 , 91.00 , 27.30 , 32.00 
276,Building Conduit Work,Electrical Metallic Tubing (EMT),EMT dia. 1 1/2 in,m, 1.00 , 106.00 , 31.80 , 38.00 
277,Building Conduit Work,Electrical Metallic Tubing (EMT),EMT dia. 2 in,m, 1.00 , 132.00 , 39.60 , 42.00 
278,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 1/2 in,m, 1.00 , 45.00 , 13.50 , 12.00 
279,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 3/4 in,m, 1.00 , 65.00 , 19.50 , 13.00 
280,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 1 in,m, 1.00 , 90.00 , 27.00 , 14.00 
281,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 1 1/4 in,m, 1.00 , 140.00 , 42.00 , 15.00 
282,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 1 1/2 in,m, 1.00 , 170.00 , 51.00 , 16.00 
283,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 2 in,m, 1.00 , 230.00 , 69.00 , 20.00 
284,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 2 1/2 in,m, 1.00 , 350.00 , 105.00 , 22.00 
285,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 3 in,m, 1.00 , 450.00 , 135.00 , 24.00 
286,Building Conduit Work,Liquid-Tight Flexible Metal Conduit (LFMC),LFMC dia. 4 in,m, 1.00 , 580.00 , 174.00 , 32.00 
287,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 1/2 in,m, 1.00 , 10.00 , 3.00 , 11.00 
288,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 3/4 in,m, 1.00 , 15.00 , 4.50 , 12.00 
289,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 1 in,m, 1.00 , 25.00 , 7.50 , 13.00 
290,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 1 1/4 in,m, 1.00 , 35.00 , 10.50 , 15.00 
291,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 1 1/2 in,m, 1.00 , 50.00 , 15.00 , 16.00 
292,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 2 in,m, 1.00 , 85.00 , 25.50 , 20.00 
293,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 2 1/2 in,m, 1.00 , 145.00 , 43.50 , 22.00 
294,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 3 in,m, 1.00 , 175.00 , 52.50 , 24.00 
295,Building Conduit Work,Flexible Metal Conduit (FMC),FMC dia. 4 in,m, 1.00 , 300.00 , 90.00 , 26.00 
296,Building Conduit Work,Junction Box,Specified…………….,Each, 1.00 , -   ,, 70.00 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
